URL,Size(Byte),Number of outlinks found,Content-type
https://www.latimes.com/world-nation/story/2024-01-11/nearly-10000-died-covid-last-month-new-variant,326641,221,text/html
https://www.latimes.com/california/story/2024-01-14/covid-19-widely-circulating-in-l-a-county-with-hospitalizations-elevated,370657,237,text/html
https://www.latimes.com/california/story/2023-10-27/new-covid-shots-are-here-majority-of-l-a-county-residents-plan-to-get-one-officials-say,386415,259,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-24/tom-hanks-rita-wilson-cannes-film-festival-asteroid-city,339586,226,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-21/cannes-film-festival-zone-of-interest-occupied-city,356779,241,text/html
https://www.latimes.com/entertainment-arts/story/2023-05-22/cannes-film-festival-exhausting,351199,227,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-16/johnny-depp-cannes-film-festival-jeanne-du-barry-maiwenn,342869,229,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-05-23/sam-levinson-the-idol-hbo-torture-porn-allegations-cannes,366819,236,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-04-05/johnny-depp-cannes-film-festival-amber-heard,331223,228,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-19/harrison-ford-calista-flockhart-cannes-hotel-photo,341834,238,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-27/cannes-film-festival-sandra-huller-anatomy-of-a-fall-the-zone-of-interest,367066,233,text/html
https://www.latimes.com/entertainment-arts/story/2023-05-22/the-idol-first-reactions-the-weeknd-cannes-nudity,366236,230,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-20/killers-of-the-flower-moon-martin-scorsese-cannes-review,353760,235,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-18/cannes-film-festival-jeanne-du-barry-monster-homecoming,351789,233,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-17/johnny-depp-press-conference-cannes-jeanne-du-barry-slams-hollywood,338447,229,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-18/indiana-jones-and-the-dial-of-destiny-harrison-ford-cannes-honorary-palme-dor,371282,239,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-24/2023-cannes-film-festival-highlights-lowlights,379949,236,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-19/harrison-ford-indiana-jones-dial-of-destiny-cannes-press-conference,338215,224,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-21/steve-mcqueen-occupied-city-cannes-film-festival-2023,356067,232,text/html
https://www.latimes.com/entertainment-arts/story/2023-05-21/killers-of-the-flower-moon-robert-de-niro-trump,343535,225,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-27/anatomy-of-a-fall-wins-palme-dor-at-cannes,349703,228,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-05-15/2023-cannes-film-festival-preview,357158,238,text/html
https://www.latimes.com/food/story/2024-02-05/la-fo-vanilla-mexico-papantla-identity-industry,450846,239,text/html
https://www.latimes.com/food/story/2024-02-05/manzke-bicyclette-closing-michelin-starred-tasting-menu-los-angeles,335542,227,text/html
https://www.latimes.com/entertainment-arts/story/2024-02-03/brushstroke-review-john-ross-bowie-james-urbaniak-malcolm-barrett,348838,230,text/html
https://www.latimes.com/food/la-fo-patricia-escarcega-review-kra-z-krais-laotian-bbq-20190220-story.html,350169,223,text/html
https://www.latimes.com/business/story/2024-02-07/created-in-california-cheesecake-factory,435167,247,text/html
https://www.latimes.com/opinion/editorials/la-ed-china-uighurs-repression-camps-reeducation-20181124-story.html,329446,237,text/html
https://www.latimes.com/california/story/2024-01-26/korean-chinese-restaurant-the-dragon-closes-after-40-years,355906,223,text/html
https://www.latimes.com/food/story/2024-01-18/baroo-kwang-uh-arts-district-review-bill-addison,404538,227,text/html
https://www.latimes.com/food/story/2024-02-05/hotel-figueroa-restaurants-workers-unionize,368431,234,text/html
https://www.latimes.com/food/story/2024-02-05/favorite-sandwiches-los-angeles,349834,234,text/html
https://www.latimes.com/people/jenn-harris,279597,211,text/html
https://www.latimes.com/food/story/2023-10-24/victor-heights-alpine-street-perilla-chinatown-gentrification,376503,229,text/html
https://www.latimes.com/food/story/2024-01-22/chicken-burger-new-orleans-wings-china-sgv,364904,236,text/html
https://www.latimes.com/food/dailydish/la-dd-scallion-pancake-20160430-story.html,353060,228,text/html
https://www.latimes.com/food/list/best-dumplings-in-los-angeles,524388,254,text/html
https://www.latimes.com/recipe/scallion-pancakes,396343,224,text/html
https://www.latimes.com/food/story/2024-01-02/food-trends-i-hope-to-see-more-of-in-2024,348546,242,text/html
https://www.latimes.com/food/story/2024-01-15/breakfast-los-angeles-echo-park-mar-vista,345893,235,text/html
https://www.latimes.com/opinion/story/2023-10-02/la-air-quality-rules-rail-ports-warehouses,349409,231,text/html
https://www.latimes.com/opinion/story/2023-11-20/california-climate-change-greenhouse-gas-global-warming-carbon-emissions-undercount-wildfire,351145,245,text/html
https://www.latimes.com/opinion/story/2021-08-16/editorial-port-pollution-choking-southern-california,335781,223,text/html
https://www.latimes.com/entertainment-arts/newsletter/2024-01-24/what-to-do-this-weekend-matthew-bourne-romeo-juliet-center-theatre-group-l-a-goes-out,377920,248,text/html
https://www.latimes.com/world-nation/story/2024-01-18/police-brazil-arrest-suspect-slaying-manhattan-art-dealer,320419,216,text/html
https://www.latimes.com/california/story/2024-01-27/space-shuttle-endeavour-soaring-into-place-at-final-museum-home,360236,234,text/html
https://www.latimes.com/entertainment-arts/newsletter/2024-01-27/chilean-films-settlers-white-on-white-tierra-del-fuego-colonization-essential-arts-arts-culture,364068,271,text/html
https://www.latimes.com/entertainment-arts/newsletter/2024-01-20/how-art-conservators-fix-the-treasures-that-are-broken-essential-arts-arts-culture,336755,244,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-26/can-maria-rosario-jackson-use-art-to-help-heal-america-joe-biden-thinks-so,413421,271,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-12/rashaad-newsome-ai-humanoid-being-film-sundance,348976,218,text/html
https://www.latimes.com/california/story/2024-01-09/9th-circuit-rejects-familys-plea-for-paintings-return-in-high-profile-nazi-looting-case,354108,223,text/html
https://www.latimes.com/food/story/2021-02-24/macheen-boyle-heights-review-tacos-breakfast-burritos,344378,227,text/html
https://www.latimes.com/entertainment-arts/story/2023-12-01/felicity-huffman-breaks-silence-college-admissions-scandal,330354,225,text/html
https://www.latimes.com/california/story/2022-01-27/cal-state-university-moves-to-drop-sat-admission-requirement,336679,222,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2024-01-08/why-do-colleges-favor-rich-families-they-need-them-to-fund-financial-aid,324473,215,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2023-12-04/your-smart-kid-wasnt-the-only-perfect-student-rejected-by-stanford,324314,215,text/html
https://www.latimes.com/entertainment-arts/newsletter/2023-11-18/essential-arts-live-stream-theater-essential-arts-arts-culture,358789,250,text/html
https://www.latimes.com/entertainment-arts/newsletter/2023-12-02/simone-leigh-show-at-the-hirshhorn-in-washington-dc-is-stirring-and-elegant-essential-arts-arts-culture,380284,265,text/html
https://www.latimes.com/lifestyle/story/2023-12-21/explore-la-history-with-online-tools,349209,246,text/html
https://www.latimes.com/entertainment-arts/story/2023-12-07/kerry-james-marshalls-stained-glass-at-dc-national-cathedral-honor-protest,365061,249,text/html
https://www.latimes.com/entertainment-arts/business/story/2024-01-25/sony-backdrops,339978,223,text/html
https://www.latimes.com/lifestyle/story/2023-12-19/wayfarers-chapel-historic-landmark-status,347636,221,text/html
https://www.latimes.com/entertainment-arts/books/story/2023-11-13/want-to-save-our-cities-look-to-san-francisco-iconic-survivor-the-ferry-building,372128,229,text/html
https://www.latimes.com/entertainment-arts/newsletter/2023-12-16/a-christmas-story-ahmanson-kids-wishes-snacks-essential-arts-arts-culture,354151,232,text/html
https://www.latimes.com/entertainment-arts/newsletter/2023-12-09/l-a-operas-el-ultimo-sueno-de-frida-y-diego-revisits-the-story-of-arts-viral-power-couple-essential-arts-arts-culture,376686,268,text/html
https://www.latimes.com/california/story/2021-06-12/southern-california-earthquakes-shaking-damage-aftershocks,347801,232,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-26/best-new-horror-movies-streaming-halloween-2023,420217,296,text/html
https://www.latimes.com/people/joshua-rothkopf,282425,210,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-12-09/silent-night-review-john-woo-joel-kinnaman-catalina-sandino-moreno,342449,229,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-06/when-evil-lurks-review-demian-rugna-horror-shudder,324516,217,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-12-07/mr-monks-last-case-a-monk-movie-tony-shaloub-peacock,348923,227,text/html
https://www.latimes.com/people/robert-abele,277892,206,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-12-08/concrete-utopia-review-south-korea-earthquake,323022,217,text/html
https://www.latimes.com/archives/la-xpm-2008-mar-21-fg-bhutan21-story.html,328108,214,text/html
https://www.latimes.com/opinion/story/2023-12-28/democracy-election-authoritarianism-voting,352720,241,text/html
https://www.latimes.com/entertainment-arts/movies/story/2022-01-20/review-lunana-yak-in-the-classroom-bhutan-drama,318965,218,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-08/los-lakers-develan-estatua-de-kobe-bryant-con-detalles-intimos-y-especiales,234658,107,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-05/estos-son-los-cambios-que-tendra-sofi-stadium-de-cara-al-mundial-2026,268498,109,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-08/una-gema-natural-perla-bazaldua-es-un-ejemplo-de-disciplina-y-sacrificio-familiar,271355,121,text/html
https://www.latimes.com/espanol/etiqueta/futbol,315535,124,text/html
https://www.latimes.com/espanol/deportes/articulo/2024-02-10/en-pleno-super-bowl-ryan-garcia-habla-de-reivindicacion-en-las-vegas-ante-devin-haney,235598,113,text/html
https://www.latimes.com/people/andrew-j-campa,278804,207,text/html
https://www.latimes.com/local/lanow/la-me-earthquake-safety-brick-buildings-inland-empire-20180209-htmlstory.html,351937,231,text/html
https://www.latimes.com/la-me-quakebot-faq-20190517-story.html,317075,220,text/html
https://www.latimes.com/entertainment-arts/as-we-speak-sundance-film-festival-123,255660,194,text/html
